,STATION,DATE,TEMP,MAX,MIN,CELSIUS
383,RPM00098646,2018-01-19,80.96,86.90,75.38,27.20
384,RPM00098646,2018-01-20,79.34,87.08,,26.30
385,RPM00098646,2018-01-21,78.98,82.40,,26.10
386,RPM00098646,2018-01-22,79.88,85.28,76.10,26.60
387,RPM00098646,2018-01-23,81.68,87.80,76.46,27.60
388,RPM00098646,2018-01-24,80.42,85.10,,26.90
389,RPM00098646,2018-01-25,81.32,86.72,75.20,27.40
390,RPM00098646,2018-01-26,82.04,89.06,,27.80
391,RPM00098646,2018-01-27,81.86,88.70,76.28,27.70
392,RPM00098646,2018-01-28,78.26,82.04,75.20,25.70
393,RPM00098646,2018-01-29,81.14,87.44,75.20,27.30
394,RPM00098646,2018-01-30,80.96,88.52,75.02,27.20
395,RPM00098646,2018-01-31,81.14,86.90,75.20,27.30
396,RPM00098646,2018-02-01,82.58,88.88,75.56,28.10
397,RPM00098646,2018-02-02,81.68,,,27.60
398,RPM00098646,2018-02-03,78.80,84.92,74.48,26.00
399,RPM00098646,2018-02-04,81.68,86.90,74.84,27.60
400,RPM00098646,2018-02-05,82.04,86.72,77.00,27.80
401,RPM00098646,2018-02-06,80.78,87.98,,27.10
402,RPM00098646,2018-02-07,80.78,87.44,,27.10
403,RPM00098646,2018-02-08,79.52,,,26.40
404,RPM00098646,2018-02-09,79.88,87.80,71.96,26.60
405,RPM00098646,2018-02-10,79.88,87.08,72.68,26.60
406,RPM00098646,2018-02-11,82.76,89.42,72.86,28.20
407,RPM00098646,2018-02-12,80.78,90.32,,27.10
408,RPM00098646,2018-02-13,76.64,79.88,,24.80
409,RPM00098646,2018-02-14,80.24,83.12,75.92,26.80
410,RPM00098646,2018-02-15,81.68,,,27.60
411,RPM00098646,2018-02-16,80.96,88.88,,27.20
412,RPM00098646,2018-02-17,78.44,85.10,,25.80
413,RPM00098646,2018-02-18,81.14,87.08,73.40,27.30
414,RPM00098646,2018-02-19,81.32,87.80,75.38,27.40
415,RPM00098646,2018-02-20,82.04,87.98,75.92,27.80
416,RPM00098646,2018-02-21,82.76,88.70,,28.20
417,RPM00098646,2018-02-22,82.04,87.80,75.38,27.80
418,RPM00098646,2018-02-23,83.48,89.60,78.44,28.60
419,RPM00098646,2018-02-24,80.78,86.18,,27.10
420,RPM00098646,2018-02-25,79.88,86.00,,26.60
421,RPM00098646,2018-02-26,81.86,88.34,75.92,27.70
422,RPM00098646,2018-02-27,81.50,87.98,75.92,27.50
423,RPM00098646,2018-02-28,81.86,,76.10,27.70
424,RPM00098646,2018-03-01,82.58,88.52,,28.10
425,RPM00098646,2018-03-02,82.40,88.88,76.28,28.00
426,RPM00098646,2018-03-03,83.12,89.96,76.64,28.40
427,RPM00098646,2018-03-04,81.68,88.88,,27.60
