,STATION,DATE,TEMP,MAX,MIN,CELSIUS
1809,RP000098755,2017-12-15,78.26,85.46,,25.70
1810,RP000098755,2017-12-16,81.32,91.40,,27.40
1811,RP000098755,2017-12-17,82.58,90.14,73.76,28.10
1812,RP000098755,2017-12-18,81.50,,75.92,27.50
1813,RP000098755,2017-12-19,80.06,84.92,75.56,26.70
1814,RP000098755,2017-12-20,80.24,87.44,75.38,26.80
1815,RP000098755,2017-12-21,77.54,,,25.30
1816,RP000098755,2017-12-22,81.86,84.38,72.50,27.70
1817,RP000098755,2017-12-23,80.96,85.10,,27.20
1818,RP000098755,2017-12-24,80.06,87.62,,26.70
1819,RP000098755,2017-12-25,80.24,86.54,74.66,26.80
1820,RP000098755,2017-12-26,81.14,86.72,76.28,27.30
1821,RP000098755,2017-12-27,77.54,79.70,75.38,25.30
1822,RP000098755,2017-12-28,80.60,86.18,74.66,27.00
1823,RP000098755,2017-12-29,79.88,86.18,,26.60
1824,RP000098755,2017-12-30,79.52,86.72,72.86,26.40
1825,RP000098755,2017-12-31,80.24,86.18,75.74,26.80
1826,RP000098755,2018-01-01,77.18,84.20,,25.10
1827,RP000098755,2018-01-02,81.32,87.44,,27.40
1828,RP000098755,2018-01-03,81.68,87.62,76.10,27.60
1829,RP000098755,2018-01-04,80.60,86.18,,27.00
1830,RP000098755,2018-01-05,80.06,86.00,75.74,26.70
1831,RP000098755,2018-01-06,80.60,90.86,73.76,27.00
1832,RP000098755,2018-01-07,80.06,85.10,,26.70
1833,RP000098755,2018-01-08,78.98,86.00,75.74,26.10
1834,RP000098755,2018-01-09,75.92,81.14,,24.40
1835,RP000098755,2018-01-10,79.88,86.18,72.32,26.60
1836,RP000098755,2018-01-11,80.78,86.18,75.20,27.10
1837,RP000098755,2018-01-12,80.42,87.44,75.02,26.90
1838,RP000098755,2018-01-13,77.18,89.24,75.74,25.10
1839,RP000098755,2018-01-14,75.56,79.16,,24.20
1840,RP000098755,2018-01-15,77.00,81.86,72.68,25.00
1841,RP000098755,2018-01-16,76.64,83.12,,24.80
1842,RP000098755,2018-01-17,79.34,86.36,70.70,26.30
1843,RP000098755,2018-01-18,75.02,85.82,,23.90
1844,RP000098755,2018-01-19,78.80,85.10,71.06,26.00
